Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
JBBL,279.00,-0.36,284.90,276.00,281.00,"17,715",,,,
JBLB,"1,271.00",-0.08,"1,288.00","1,270.00","1,270.00","1,204",,,,
JFL,334.00,-1.79,343.90,334.00,343.90,"3,239",,,,
JOSHI,195.00,-0.51,197.00,190.00,193.10,"2,073",,,,
JSLBB,816.00,-0.49,816.00,785.00,812.00,821,,,,
KBL,152.00,-1.3,154.00,151.00,153.00,"37,925",,,,
KBSH,804.00,0.5,805.00,775.00,805.00,"1,030",,,,
KDBY,7.43,-1.59,7.60,7.43,7.50,"3,600",,,,
KDL,821.00,3.47,832.00,780.00,780.00,"8,893",,,,
KEF,7.70,1.99,7.70,7.55,7.70,"2,000",,,,
KKHC,191.00,-1.39,197.50,186.20,193.00,"3,256",,,,
KLBSL,705.00,3.39,709.20,642.00,668.30,795,,,,
KMCDB,563.90,1.08,564.90,540.00,562.00,742,,,,
KPCL,311.50,-4.15,328.00,308.90,328.00,"1,511",,,,
KRBL,287.00,1.06,289.40,280.00,289.40,"4,848",,,,
KSBBL,298.00,-1.32,304.90,298.00,302.00,"11,803",,,,
LBBL,392.00,-1.13,399.60,388.60,399.60,"26,285",,,,
LEC,146.80,-2.65,150.60,146.50,150.00,"33,865",,,,
LEMF,8.46,0,8.46,8.46,8.46,"2,000",,,,
LICN,"1,410.00",1.66,"1,415.00","1,365.10","1,370.00","1,319",,,,
LLBS,625.00,-3.85,637.50,621.00,637.00,"3,961",,,,
LSL,183.90,0.93,185.00,175.10,178.60,"30,258",,,,
LUK,8.30,0.61,8.30,8.09,8.09,"1,500",,,,
LVF2,7.34,-0.54,7.38,7.30,7.38,"1,000",,,,
MAKAR,266.50,7.46,272.00,238.00,252.50,"9,365",,,,
MANDU,514.00,-0.23,525.00,504.90,505.00,"18,057",,,,
MBJC,267.20,-0.04,272.60,262.00,272.60,"5,675",,,,
MBL,192.00,0,195.00,191.00,192.00,"26,516",,,,
MCHL,254.40,6.89,261.70,240.00,240.00,"44,036",,,,
MDB,409.90,-2.64,424.00,400.00,424.00,"6,012",,,,
MEHL,209.00,5.03,213.20,198.00,200.00,"17,176",,,,
MEL,168.00,0.9,170.00,163.30,166.00,"20,036",,,,
MEN,671.00,-1.61,685.00,671.00,680.00,"1,712",,,,
MERO,495.00,-1,510.00,485.10,490.00,"1,416",,,,
MFIL,529.00,0.19,531.00,523.10,531.00,"14,199",,,,
MHCL,218.50,4.65,229.00,205.20,205.20,"51,867",,,,
MHL,342.00,8.92,345.00,311.00,314.00,"38,612",,,,
MHNL,193.00,-1.03,198.90,190.20,198.90,"4,181",,,,
MKHC,206.00,-1.53,210.00,204.00,205.10,"5,775",,,,
MKHL,262.10,1.24,263.90,250.00,254.00,"6,555",,,,
MKJC,347.00,0.29,348.00,340.10,340.10,365,,,,
MKLB,570.40,-0.02,581.90,570.30,581.90,210,,,,
MLBBL,708.00,1.29,711.90,697.70,700.00,649,,,,
MLBL,314.80,-0.38,322.00,311.50,322.00,"12,809",,,,
MLBS,602.00,-1.84,625.00,601.10,620.00,160,,,,
MLBSL,"1,617.00",0.62,"1,620.00","1,588.00","1,620.00",297,,,,
MMF1,7.50,5.04,7.65,6.83,7.00,"128,900",,,,
MMFDB,499.00,-1.38,527.00,494.00,508.00,"4,247",,,,
MMKJL,284.00,3.65,284.00,267.70,269.00,"25,969",,,,
MNBBL,382.00,0,385.90,377.00,384.10,"16,019",,,,
MPFL,286.00,-0.97,289.00,283.00,288.80,"3,000",,,,
MSHL,361.30,-4.75,394.50,353.60,379.30,"14,462",,,,
MSLB,755.00,-1.05,755.00,747.80,755.00,101,,,,
NABBC,355.00,-5.33,370.00,355.00,370.00,"1,595",,,,
NABIL,517.00,-1.71,529.80,515.50,529.80,"32,419",,,,
NADEP,485.90,0,486.00,477.10,477.10,167,,,,
NBF2,7.45,2.05,7.58,7.30,7.30,"3,430",,,,
NBF3,7.00,-0.99,7.06,6.86,6.93,"43,549",,,,
NBL,238.50,-0.62,241.00,238.40,241.00,"28,185",,,,
NESDO,"1,443.00",-1.16,"1,472.00","1,436.00","1,436.00","1,037",,,,
NFS,297.60,0.24,302.80,294.00,299.00,"9,595",,,,
NGPL,204.00,-0.97,207.00,200.00,206.90,"29,248",,,,
NHDL,336.00,-2.33,350.80,335.00,350.80,"1,151",,,,
NHPC,134.00,0,138.00,133.00,135.00,"32,944",,,,
NIBLGF,7.45,0,7.45,7.34,7.34,600,,,,
NIBLPF,8.92,-0.89,9.10,8.92,9.00,"103,970",,,,
NIBSF2,7.22,3.88,7.22,6.86,6.86,"76,759",,,,
NICA,511.00,-0.39,514.00,508.10,508.10,"8,467",,,,
NICAD8283,"1,029.00",-2,"1,040.00","1,029.00","1,040.00",590,,,,
NICBF,8.31,0.12,8.31,8.15,8.15,"10,100",,,,
NICFC,7.78,-2.87,7.86,7.74,7.86,"6,100",,,,
NICGF,8.99,-0.11,9.16,8.82,9.16,"6,270",,,,
NICL,799.90,-0.01,808.00,793.00,808.00,"22,674",,,,
NICLBSL,581.00,0.17,592.00,571.50,590.00,"3,796",,,,
NICSF,8.64,3.85,8.64,8.17,8.17,"98,040",,,,
NIFRA,190.00,-0.47,191.00,187.80,190.00,"26,715",,,,
NIL,814.10,-0.72,824.00,810.00,820.00,"3,164",,,,
NIMB,182.00,0,184.40,180.80,183.00,"42,654",,,,
NIMBPO,149.00,3.83,150.90,144.90,144.90,"83,383",,,,
NLBBL,496.00,-2.36,508.00,495.00,508.00,"2,296",,,,
NLG,748.00,0.15,790.00,740.10,755.00,"12,262",,,,
NLIC,669.00,-0.74,678.90,663.00,670.00,"12,490",,,,
NLICL,573.00,-0.05,577.00,569.10,574.00,"6,231",,,,
NMB,205.00,-0.97,207.80,204.70,204.70,"20,011",,,,
NMB50,9.21,-0.97,9.39,9.21,9.39,"20,200",,,,
NMBMF,475.40,-0.96,485.20,475.10,480.00,"1,210",,,,
NMFBS,922.00,-0.11,941.20,915.20,916.00,"12,988",,,,
NRIC,631.00,0.9,640.00,620.20,620.30,"21,078",,,,
NRM,241.50,3.83,250.00,228.70,228.70,"59,564",,,,
NRN,396.00,-0.45,404.90,389.00,404.90,"10,362",,,,
NSIF2,8.65,0.12,8.65,8.63,8.63,"1,200",,,,
NTC,863.00,-0.8,886.80,862.10,886.80,"7,746",,,,
NUBL,570.00,0.88,579.80,560.00,570.00,"2,908",,,,
NYADI,200.00,0,204.00,196.30,196.30,"2,497",,,,
OHL,774.00,2.79,801.00,750.00,750.00,"8,123",,,,
PBD88,922.10,-1.9,922.10,922.10,922.10,25,,,,
PCBL,192.00,-1.03,197.80,190.00,190.50,"64,351",,,,
PFL,333.20,-0.09,336.00,333.10,335.00,"1,248",,,,
PHCL,239.70,-0.08,249.00,227.40,238.00,"12,190",,,,
PMHPL,212.00,3.41,212.10,200.10,208.00,"13,762",,,,
PPCL,212.00,-0.93,216.00,210.00,210.00,621,,,,
PPL,221.50,1.61,222.30,213.90,222.30,"10,168",,,,
PRIN,664.40,-0.54,675.10,655.30,675.00,"2,523",,,,
PROFL,291.00,-0.34,297.50,286.00,296.50,"17,160",,,,
PRSF,7.96,1.92,7.96,7.75,7.75,"2,700",,,,
PRVU,158.40,0.57,160.00,155.40,157.50,"50,187",,,,
PRVUPO,105.90,0,105.90,105.90,105.90,"10,935",,,,
PSF,7.70,3.91,7.70,7.34,7.34,"6,400",,,,
RADHI,214.00,0,216.00,211.10,211.10,"12,904",,,,
RAWA,398.00,-0.25,402.90,387.30,395.00,"13,436",,,,
RBCL,"13,600.00",0.37,"13,600.00","13,495.00","13,495.00",70,,,,
RFPL,217.00,-0.69,220.00,213.70,216.00,"2,255",,,,
RHGCL,210.90,1.93,210.90,198.90,202.80,"6,380",,,,
RHPL,255.00,0.99,258.00,249.10,249.10,"11,498",,,,
RIDI,188.60,-0.68,190.00,186.10,190.00,"22,728",,,,
RLFL,328.90,-0.78,336.00,324.00,330.00,"18,545",,,,
RMF1,7.17,-3.5,7.29,7.15,7.29,"4,600",,,,
RMF2,7.58,0.53,7.58,7.40,7.40,"8,200",,,,
RNLI,469.90,0.82,475.30,461.10,465.00,"96,760",,,,
RSDC,509.00,-2,510.00,507.00,510.00,"1,140",,,,
RURU,702.00,-1.97,724.00,702.00,718.00,520,,,,
SABSL,560.00,-1.06,560.00,545.00,555.00,431,,,,
SADBL,280.00,0.54,284.00,277.00,284.00,"4,692",,,,
SAEF,9.76,3.72,9.76,9.41,9.41,"39,850",,,,
SAGF,7.77,0,7.77,7.75,7.75,"1,100",,,,
SAHAS,460.00,0.66,460.00,451.00,451.00,"10,635",,,,
SALICO,666.00,-0.6,685.00,658.00,683.40,"5,349",,,,
SANIMA,239.00,-0.42,244.80,238.00,240.00,"10,750",,,,
SAPDBL,232.00,1.75,233.00,226.50,228.00,"7,794",,,,
SBCF,7.40,-1.46,7.40,7.24,7.36,"58,175",,,,
SBD87,850.00,3.79,852.00,819.00,835.30,325,,,,
SBI,298.50,-2.45,306.00,295.30,306.00,"5,669",,,,
SBID83,971.20,-2,971.20,971.20,971.20,50,,,,
SBL,230.30,0.04,234.80,228.10,228.10,"30,633",,,,
SBLD2082,"1,009.60",-2,"1,009.60","1,009.60","1,009.60",25,,,,
SCB,525.00,0,535.00,523.00,535.00,"7,030",,,,
SDBD87,833.00,1.54,833.00,817.10,817.10,50,,,,
SDLBSL,541.60,-0.64,546.70,526.00,535.00,849,,,,
SEF,8.16,0.62,8.16,7.95,7.95,"18,000",,,,
SFCL,273.40,0.59,273.40,268.10,268.10,"5,125",,,,
SFEF,7.75,0,7.75,7.75,7.75,500,,,,
SFMF,9.45,1.94,9.45,9.45,9.45,"1,000",,,,
SGHC,239.00,7.61,244.30,220.10,223.00,"4,810",,,,
SGIC,467.00,0.43,474.00,458.00,469.90,"46,431",,,,
SHEL,248.00,1.64,248.00,239.20,239.20,"6,883",,,,
SHINE,358.00,-0.83,362.00,355.20,358.10,"41,032",,,,
SHIVM,493.60,1.15,501.50,488.00,497.00,"62,393",,,,
SHL,429.00,3.12,436.50,411.00,411.00,"153,446",,,,
SHLB,810.10,1.26,816.00,790.50,791.00,525,,,,
SHPC,319.90,-0.03,323.00,315.00,323.00,"13,048",,,,
SICL,763.00,-0.09,778.00,761.00,778.00,"2,284",,,,
SIFC,333.90,-0.62,336.80,330.00,330.10,"3,017",,,,
SIGS2,8.35,2.2,8.35,7.44,8.01,"44,045",,,,
SIKLES,394.40,-1.4,400.00,393.00,393.00,"4,549",,,,
SINDU,255.00,1.59,256.00,252.00,256.00,"1,678",,,,
SJCL,251.00,0.72,254.90,245.20,245.30,"5,132",,,,
SJLIC,506.70,-1.42,517.90,497.60,514.00,"31,690",,,,
SKBBL,882.00,-0.9,895.00,880.00,890.00,"4,633",,,,
SLBBL,608.00,-2.7,624.90,597.00,624.90,"3,021",,,,
SLBSL,681.10,-2.42,695.00,681.10,684.10,382,,,,
SLCF,7.02,-1.13,7.02,6.98,6.98,"1,900",,,,
SMATA,596.80,-0.03,596.80,576.10,585.10,717,,,,
SMB,840.00,0.01,840.00,840.00,840.00,10,,,,
SMFBS,860.00,-2.82,870.00,855.00,868.90,902,,,,
SMH,528.80,-1.71,535.50,514.00,535.00,"1,390",,,,
SMHL,341.00,-1.19,347.70,335.20,340.00,"3,670",,,,
SMJC,262.00,0.46,275.00,256.00,260.80,"18,782",,,,
SNLI,472.00,0.75,477.30,460.00,460.50,"57,079",,,,
SONA,301.20,4.58,306.00,285.10,288.00,"283,941",,,,
SPC,351.20,-2.17,380.00,345.60,366.10,"1,849",,,,
SPDL,178.70,-1.76,183.00,178.70,179.30,"5,626",,,,
SPHL,409.00,-2.39,427.00,396.00,419.90,"30,149",,,,
SPIL,725.00,0.42,728.00,716.00,720.00,"8,150",,,,
SPL,769.00,3.36,770.00,731.00,758.00,"1,362",,,,
SRD80,"1,000.20",-0.45,"1,000.20","1,000.20","1,000.20",25,,,,
SRLI,466.00,-0.43,471.00,460.10,460.10,"6,085",,,,
SSHL,141.80,-1.46,145.00,137.10,145.00,"27,335",,,,
STC,"5,111.00",-0.76,"5,150.00","5,075.00","5,100.00",521,,,,
SWBBL,730.00,-1.35,730.00,726.00,730.00,"2,547",,,,
SWMF,560.60,-0.57,572.90,554.20,565.00,985,,,,
TAMOR,252.90,0.36,256.80,245.00,252.00,"9,580",,,,
TPC,354.00,5.33,354.00,328.00,329.40,"1,254",,,,
TRH,828.00,8.24,828.00,749.70,749.70,"20,597",,,,
TSHL,375.00,-0.03,380.00,368.10,379.00,"6,089",,,,
UAIL,552.00,0.91,555.00,540.30,548.00,"11,208",,,,
UHEWA,273.90,-1.08,279.00,268.60,275.00,"3,130",,,,
ULBSL,980.00,-2,"1,015.00",980.00,"1,000.00",644,,,,
ULHC,240.90,2.08,240.90,228.60,236.00,"24,417",,,,
UMHL,185.00,0,189.90,181.40,188.00,"11,463",,,,
UMRH,346.40,-3.21,355.00,341.00,355.00,"3,274",,,,
UNHPL,173.40,2.54,173.40,166.10,166.10,"3,555",,,,
UNL,"41,881.30",-0.04,"42,736.00","41,881.30","42,736.00",23,,,,
UNLB,968.00,-1.22,990.00,960.00,970.00,333,,,,
UPCL,182.00,1.62,184.00,179.20,180.90,"32,724",,,,
UPPER,202.50,-0.59,204.00,200.00,200.00,"13,046",,,,
USHEC,249.50,3.01,253.90,238.00,238.00,"11,183",,,,
USHL,357.00,2.7,364.00,347.00,347.60,"6,500",,,,
USLB,708.00,1.87,708.00,695.00,705.00,94,,,,
VLBS,597.90,-4.67,614.70,568.10,614.70,"6,371",,,,
WNLB,706.00,0,706.00,693.00,706.00,41,,,,
